date,time,member,message,message_type,message_length,reaction_count,word_count,mentions,emojis
2022-02-02,04:34 PM,Abdulmuiz,Tf😂,text,3,1,1,,['😂']
2022-02-02,04:34 PM,Abdulmuiz,Which kind sticker be this,text,26,0,5,,[]
2022-02-02,04:34 PM,raqib,😂😂😂,text,3,3,0,,"['😂', '😂', '😂']"
2022-02-02,04:35 PM,Abdulmuiz,Abi,text,3,0,1,,[]
2022-02-02,04:35 PM,raqib,U no sey ppl don mad for dis country,text,36,0,9,,[]
2022-02-02,04:36 PM,Abdulmuiz,Iswr beyond expectations,text,24,0,3,,[]
2022-02-02,04:36 PM,Abdulmuiz,😂,text,1,1,0,,['😂']
2022-02-02,05:50 PM,raqib,A dey tell u,text,12,0,4,,[]
2022-02-02,06:25 PM,Abdulmuiz,Lol,text,3,0,1,,[]
2022-02-07,02:07 PM,raqib,For CBT?,text,8,0,2,,[]
2022-02-07,05:55 PM,Abdulmuiz,Yh,text,2,0,1,,[]
2022-02-09,07:59 PM,raqib,Na blackberry camera be dis?😂,text,29,1,5,,['😂']
2022-02-09,08:00 PM,raqib,Send fundz,text,10,0,2,,[]
2022-02-09,09:06 PM,Abdulmuiz,Ode na snap chat😂,text,17,1,4,,['😂']
2022-02-09,09:06 PM,Abdulmuiz,😒,text,1,0,0,,['😒']
2022-02-09,09:10 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-09,09:11 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-09,09:25 PM,Abdulmuiz,Okay,text,4,0,1,,[]
2022-02-11,06:20 PM,Abdulmuiz,How fR,text,6,0,2,,[]
2022-02-11,06:20 PM,Abdulmuiz,Make we go collect foam for sanusi 2 Tomorrow,text,45,0,9,,[]
2022-02-11,06:20 PM,Abdulmuiz,Wetin u feel?,text,13,0,3,,[]
2022-02-11,07:12 PM,raqib,I been wan tell u sef,text,21,0,6,,[]
2022-02-11,07:13 PM,raqib,But it's gonna be for SWEP time right?,text,38,0,9,,[]
2022-02-11,07:58 PM,Abdulmuiz,Not sure about this one sha,text,27,0,6,,[]
2022-02-11,08:01 PM,raqib,"Ok no wahala when we go sha, we go sort am",text,42,0,11,,[]
2022-02-11,08:04 PM,Abdulmuiz,Ok,text,2,0,1,,[]
2022-02-12,07:13 PM,raqib,How far ?,text,9,0,2,,[]
2022-02-12,07:13 PM,raqib,"E be like sey na me dey talk rubbish, dem no dey pay for swep",text,61,0,15,,[]
2022-02-12,07:14 PM,raqib,"U go just deposit like 50k, that's for next session's fee so u can stay in hostel during swep",text,93,0,21,,[]
2022-02-12,07:16 PM,raqib,That's how's it is here and i guess everywhere. So i go collect the form and for u too?,text,87,0,21,,[]
2022-02-12,07:16 PM,raqib,Okay??,text,6,0,1,,[]
2022-02-12,07:26 PM,Abdulmuiz,Ohk thanks,text,10,0,2,,[]
2022-02-12,07:27 PM,Abdulmuiz,Shey you sure say na 50k?? Na 100 plus I pay for sanusi 1 ohhh,text,62,0,15,,[]
2022-02-12,07:28 PM,Abdulmuiz,When you wan go collect the form make we go check the room?,text,59,0,13,,[]
2022-02-12,07:38 PM,raqib,I go still confirm sha,text,22,0,5,,[]
2022-02-12,07:38 PM,raqib,So u go come back be dat,text,24,0,7,,[]
2022-02-12,07:39 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-12,07:51 PM,Abdulmuiz,Yh,text,2,0,1,,[]
2022-02-12,07:52 PM,Abdulmuiz,Sha inform me,text,13,0,3,,[]
2022-02-12,07:53 PM,raqib,Okay sir,text,8,0,2,,[]
2022-02-12,07:53 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-12,08:15 PM,Abdulmuiz,You no well😂,text,12,1,3,,['😂']
2022-02-12,08:18 PM,raqib,Ode😂,text,4,1,1,,['😂']
2022-02-12,08:20 PM,Abdulmuiz,Wohhh wohhh wohh take it easy bruh,text,34,0,7,,[]
2022-02-12,08:50 PM,raqib,Ok sir,text,6,0,2,,[]
2022-02-12,09:01 PM,Abdulmuiz,🌝,text,1,0,0,,['🌝']
2022-02-13,06:23 AM,Abdulmuiz,How far? Like how many days is for that sweep self,text,50,0,11,,[]
2022-02-13,06:24 AM,Abdulmuiz,And how much person go pay if you wan stay for hostel during sweep....I no say we no dey pay but like how much 😏,text,112,0,25,,['😏']
2022-02-13,06:43 AM,raqib,Be like 6wks,text,12,0,3,,[]
2022-02-13,06:43 AM,Abdulmuiz,6 weeks🙆🏾‍♂️ ok...,text,18,0,3,,"['🙆', '🏾', '♂']"
2022-02-13,06:43 AM,Abdulmuiz,..,text,2,0,0,,[]
2022-02-13,06:43 AM,raqib,I don't know... I just wan confirm,text,34,0,8,,[]
2022-02-13,06:43 AM,Abdulmuiz,Ohk Sharp lemme know,text,20,0,4,,[]
2022-02-13,06:44 AM,raqib,"Na 2months or so, normally",text,26,0,5,,[]
2022-02-13,06:44 AM,Abdulmuiz,But that won't be possible cus freshers will be entering on the 7th,text,67,0,14,,[]
2022-02-13,06:45 AM,Abdulmuiz,E go reach like 30k ba?,text,23,0,6,,[]
2022-02-13,06:46 AM,raqib,"See dis one, session go start sef, swep go still dey on",text,55,0,12,,[]
2022-02-13,06:46 AM,raqib,Na how the thing dey😑,text,21,0,5,,['😑']
2022-02-13,06:46 AM,raqib,Ion know,text,8,0,2,,[]
2022-02-13,06:46 AM,Abdulmuiz,Mahd oya na,text,11,0,3,,[]
2022-02-13,06:46 AM,Abdulmuiz,Anyhow sha,text,10,0,2,,[]
2022-02-13,06:46 AM,raqib,But u sure sey dat 2 better pass 1 ??,text,37,0,9,,[]
2022-02-13,06:46 AM,Abdulmuiz,"When you wan go confirm,go today",text,32,0,7,,[]
2022-02-13,06:47 AM,Abdulmuiz,Yes ohhhhhhhh,text,13,0,2,,[]
2022-02-13,06:47 AM,Abdulmuiz,2 na new hostel,text,15,0,4,,[]
2022-02-13,06:47 AM,raqib,No be u go tell me wetin i go do😒,text,33,0,10,,['😒']
2022-02-13,06:47 AM,Abdulmuiz,No vex,text,6,0,2,,[]
2022-02-13,06:47 AM,raqib,U sabi any CPE guy for there?,text,29,0,7,,[]
2022-02-13,06:48 AM,Abdulmuiz,Den much na,text,11,0,3,,[]
2022-02-13,06:48 AM,Abdulmuiz,Lolu and the rest,text,17,0,4,,[]
2022-02-13,06:48 AM,raqib,Ok I been think sey na 1 dem dey,text,32,0,9,,[]
2022-02-13,06:49 AM,Abdulmuiz,No,text,2,0,1,,[]
2022-02-13,06:49 AM,raqib,Ok later,text,8,0,2,,[]
2022-02-13,06:49 AM,Abdulmuiz,Oya na,text,6,0,2,,[]
2022-02-13,11:08 AM,Abdulmuiz,I hear say na tomorrow den talk say make we carry our loads comot oh,text,68,0,15,,[]
2022-02-13,11:09 AM,raqib,For ur own hostel niyen😂,text,24,1,5,,['😂']
2022-02-13,11:09 AM,raqib,I still get till Thursday brr,text,29,0,6,,[]
2022-02-13,11:11 AM,Abdulmuiz,Toor,text,4,0,1,,[]
2022-02-13,11:11 AM,Abdulmuiz,But we dey go check sanusi 2 tomorrow oh,text,40,0,9,,[]
2022-02-13,11:13 AM,raqib,Ok as u go dey homeless from tomorrow,text,37,0,8,,[]
2022-02-13,11:13 AM,raqib,I go try go there today 2,text,25,0,7,,[]
2022-02-13,11:14 AM,raqib,Na ur pic i go put next time,text,28,0,8,,[]
2022-02-13,11:14 AM,Abdulmuiz,I don dey house since yesterday 😂,text,33,1,6,,['😂']
2022-02-13,11:14 AM,Abdulmuiz,Say wetin 😒,text,11,0,2,,['😒']
2022-02-13,11:16 AM,raqib,I sabi 😑,text,8,0,2,,['😑']
2022-02-13,11:16 AM,raqib,"Bcos i no get any of una picture, na why i put messi and ororo",text,62,0,15,,[]
2022-02-13,11:17 AM,Abdulmuiz,I dey come school tomorrow so chill make we gather go,text,53,0,11,,[]
2022-02-13,11:18 AM,raqib,Copied,text,6,0,1,,[]
2022-02-13,09:40 PM,Abdulmuiz,No forget oh,text,12,0,3,,[]
2022-02-13,09:40 PM,Abdulmuiz,Be like say I go pay for where I go stay tomorrow,text,49,0,12,,[]
2022-02-13,09:40 PM,Abdulmuiz,Cus to dey Park load na another wahala,text,38,0,8,,[]
2022-02-13,09:40 PM,Abdulmuiz,Pack*,text,5,0,1,,[]
2022-02-13,09:50 PM,raqib,Idg for sanusi?,text,15,0,3,,[]
2022-02-13,09:50 PM,Abdulmuiz,Yh,text,2,0,1,,[]
2022-02-13,09:51 PM,raqib,U no wan pack b4 nii?,text,21,0,6,,[]
2022-02-13,09:52 PM,raqib,"Abi use vn, i no get u",text,22,0,7,,[]
2022-02-13,09:52 PM,Abdulmuiz,"I go just pack go sanusi 2,you go help me oh",text,44,0,12,,[]
2022-02-13,09:52 PM,Abdulmuiz,Wetin you wan make I talk,text,25,0,6,,[]
2022-02-13,09:54 PM,raqib,Oh ok.. i no grab,text,17,0,5,,[]
2022-02-13,09:54 PM,raqib,"I dey chop, nothing we u dey talk dey enter my head😓",text,52,0,12,,['😓']
2022-02-13,09:55 PM,Abdulmuiz,Meself,text,6,0,1,,[]
2022-02-13,09:55 PM,Abdulmuiz,Lol,text,3,0,1,,[]
2022-02-13,09:58 PM,raqib,Dey sey na u be simp of the year 😂,text,34,1,9,,['😂']
2022-02-13,10:02 PM,Abdulmuiz,No ohhh,text,7,0,2,,[]
2022-02-13,10:02 PM,Abdulmuiz,Me ke,text,5,0,2,,[]
2022-02-13,10:12 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-13,10:17 PM,Abdulmuiz,<Media omitted>,text,15,0,2,,[]
2022-02-14,09:36 AM,Abdulmuiz,You dey school?,text,15,0,3,,[]
2022-02-14,09:37 AM,raqib,Yh,text,2,0,1,,[]
2022-02-14,09:38 AM,Abdulmuiz,I dey come by 11,text,16,0,5,,[]
2022-02-14,09:41 AM,raqib,11?😳,text,4,0,1,,['😳']
2022-02-14,09:42 AM,raqib,When i still dey bed 😒,text,22,0,5,,['😒']
2022-02-14,09:44 AM,Abdulmuiz,"Iffa no do am like that,I no go see motor cus fuel don scarce",text,61,0,15,,[]
2022-02-14,09:45 AM,raqib,Okay.. no wahala,text,16,0,3,,[]
2022-02-14,09:45 AM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-14,12:16 PM,raqib,Where u dey?,text,12,0,3,,[]
2022-02-14,12:17 PM,Abdulmuiz,I don almost reach pack,text,23,0,5,,[]
2022-02-14,12:17 PM,raqib,Na hostel u even dey,text,20,0,5,,[]
2022-02-14,12:17 PM,Abdulmuiz,No na,text,5,0,2,,[]
2022-02-14,12:18 PM,Abdulmuiz,I dey come from house,text,21,0,5,,[]
2022-02-14,12:18 PM,raqib,Oh *park,text,8,0,2,,[]
2022-02-14,12:18 PM,raqib,U no sabi spell again?😏,text,23,0,5,,['😏']
2022-02-14,12:18 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-14,12:18 PM,Abdulmuiz,Abeg shift,text,10,0,2,,[]
2022-02-14,12:20 PM,raqib,Lmao,text,4,0,1,,[]
2022-02-14,12:31 PM,Abdulmuiz,🚶🏽‍♂️,text,5,0,0,,"['🚶', '🏽', '♂']"
2022-02-15,03:36 PM,raqib,"Afar, i wan pay now",text,19,0,5,,[]
2022-02-15,03:48 PM,Abdulmuiz,Oya,text,3,0,1,,[]
2022-02-15,03:48 PM,Abdulmuiz,Tell the woman say you get people wey go join you oh,text,52,0,12,,[]
2022-02-15,03:49 PM,Abdulmuiz,"Help me keep that bed,not the one close to the window",text,53,0,12,,[]
2022-02-15,03:50 PM,raqib,U don see another person?,text,25,0,5,,[]
2022-02-15,03:50 PM,Abdulmuiz,Yh but e never ready to pay,text,27,0,7,,[]
2022-02-15,03:50 PM,Abdulmuiz,Like me,text,7,0,2,,[]
2022-02-15,03:52 PM,raqib,Okay.,text,5,0,1,,[]
2022-02-15,03:52 PM,raqib,Hope u sha dey come sha..,text,25,0,6,,[]
2022-02-15,03:52 PM,raqib,Abeg no story boss🙏,text,19,0,4,,['🙏']
2022-02-15,03:52 PM,Abdulmuiz,Door*,text,5,0,1,,[]
2022-02-15,03:52 PM,Abdulmuiz,"Yes na,chill jhare",text,18,0,4,,[]
2022-02-15,03:53 PM,Abdulmuiz,I go tell popsi now,text,19,0,5,,[]
2022-02-15,03:57 PM,raqib,Toor,text,4,0,1,,[]
2022-02-15,11:02 PM,Abdulmuiz,You don pay,text,11,0,3,,[]
2022-02-15,11:02 PM,Abdulmuiz,"Abeg no forget ohhh,keep that space for me",text,42,0,9,,[]
2022-02-15,11:02 PM,Abdulmuiz,I go try pay this week sha,text,26,0,7,,[]
2022-02-15,11:04 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-15,11:07 PM,Abdulmuiz,Shey you don pay sha,text,20,0,5,,[]
2022-02-15,11:07 PM,Abdulmuiz,"As long as you don pay,no wahala....I go pay this week in shaa Allah",text,68,0,16,,[]
2022-02-15,11:08 PM,raqib,Tomorrow,text,8,0,1,,[]
2022-02-15,11:08 PM,raqib,U dey come tomorrow?,text,20,0,4,,[]
2022-02-16,12:36 AM,Abdulmuiz,No,text,2,0,1,,[]
2022-02-16,12:36 AM,Abdulmuiz,Ok,text,2,0,1,,[]
2022-02-16,06:33 PM,raqib,"How far, send dat 3rd person name. Make i write am down",text,55,0,12,,[]
2022-02-16,06:33 PM,raqib,*i don tell the woman to reserve a room for us and i dey find another person,text,76,0,17,,[]
2022-02-16,06:34 PM,Abdulmuiz,Wetin she con talk?,text,19,0,4,,[]
2022-02-16,06:34 PM,Abdulmuiz,You don pay?,text,12,0,3,,[]
2022-02-16,06:34 PM,Abdulmuiz,Issac,text,5,0,1,,[]
2022-02-16,06:36 PM,raqib,Yessir,text,6,0,1,,[]
2022-02-16,06:37 PM,Abdulmuiz,Ok na I go tell popsi tomorrow,text,30,0,7,,[]
2022-02-16,06:37 PM,Abdulmuiz,Reserve room ke abeg oh go meet am and check the room oh,text,56,0,13,,[]
2022-02-16,06:37 PM,Abdulmuiz,I dey come on Friday sha,text,24,0,6,,[]
2022-02-16,06:49 PM,raqib,Yh dat one sure.if u come sha,text,29,0,8,,[]
2022-02-16,06:50 PM,raqib,Oya,text,3,0,1,,[]
2022-02-16,07:03 PM,Abdulmuiz,Ok,text,2,0,1,,[]
2022-02-16,09:42 PM,Abdulmuiz,E be like say we go find two more people to join us oh,text,54,0,14,,[]
2022-02-16,09:42 PM,Abdulmuiz,This one never ready,text,20,0,4,,[]
2022-02-16,09:43 PM,raqib,Eeii,text,4,0,1,,[]
2022-02-16,09:43 PM,Abdulmuiz,E dey tell me chill since,text,25,0,6,,[]
2022-02-16,09:43 PM,Abdulmuiz,"No be now he wan pay,you grab? Abi we fit keep the space for am",text,63,0,16,,[]
2022-02-16,09:43 PM,Abdulmuiz,Till whenever he is ready?,text,26,0,5,,[]
2022-02-16,09:43 PM,raqib,Yh we can,text,9,0,3,,[]
2022-02-16,09:43 PM,raqib,Like is he going home 1st?,text,26,0,6,,[]
2022-02-16,09:44 PM,Abdulmuiz,Ok,text,2,0,1,,[]
2022-02-16,09:44 PM,raqib,We go tell dat woman,text,20,0,5,,[]
2022-02-16,09:44 PM,Abdulmuiz,Going home as how,text,17,0,4,,[]
2022-02-16,09:44 PM,Abdulmuiz,Oya na...on Friday 🤝🏼,text,21,0,4,,"['🤝', '🏼']"
2022-02-16,09:44 PM,raqib,What level is he?,text,17,0,4,,[]
2022-02-16,09:44 PM,raqib,Shey asuu neva strike 😒,text,23,0,4,,['😒']
2022-02-16,09:45 PM,Abdulmuiz,Also going to 300lvl,text,20,0,4,,[]
2022-02-16,09:45 PM,Abdulmuiz,We did ijmb together,text,20,0,4,,[]
2022-02-16,09:45 PM,raqib,Engineering?,text,12,0,1,,[]
2022-02-16,09:45 PM,Abdulmuiz,No,text,2,0,1,,[]
2022-02-16,09:45 PM,raqib,Ok,text,2,0,1,,[]
2022-02-16,09:45 PM,Abdulmuiz,Yh,text,2,0,1,,[]
2022-02-16,09:45 PM,raqib,"I sabi one girl sha, she fit join🥲",text,34,0,8,,['🥲']
2022-02-16,09:46 PM,raqib,She go just dey dress like man during the day🙃,text,46,0,10,,['🙃']
2022-02-16,09:47 PM,Abdulmuiz,<Media omitted>,text,15,0,2,,[]
2022-02-16,09:47 PM,Abdulmuiz,You sure say you dey ok like this,text,33,0,8,,[]
2022-02-16,09:48 PM,raqib,Na loud,text,7,0,2,,[]
2022-02-16,09:48 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-16,09:49 PM,Abdulmuiz,<Media omitted>,text,15,0,2,,[]
2022-02-17,07:18 PM,Abdulmuiz,How far,text,7,0,2,,[]
2022-02-17,07:19 PM,raqib,Boss🙇‍♂️,text,8,0,1,,"['🙇', '♂']"
2022-02-17,07:19 PM,raqib,Who be dat 2nd Augustine for our department?,text,44,0,8,,[]
2022-02-17,07:19 PM,Abdulmuiz,Iswr I no sabi self,text,19,0,5,,[]
2022-02-17,07:20 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-17,07:20 PM,raqib,U still go show 2moro,text,21,0,5,,[]
2022-02-17,07:20 PM,Abdulmuiz,No jhare,text,8,0,2,,[]
2022-02-17,07:20 PM,Abdulmuiz,"I go pay,no phor",text,16,0,5,,[]
2022-02-17,07:20 PM,Abdulmuiz,Na just that my load I dey think of,text,35,0,9,,[]
2022-02-17,07:21 PM,raqib,Ok. I don even collect the woman's number,text,41,0,9,,[]
2022-02-17,07:21 PM,raqib,So who no get load?,text,19,0,5,,[]
2022-02-17,07:22 PM,Abdulmuiz,E sure for you na🤲🏼,text,19,0,5,,"['🤲', '🏼']"
2022-02-17,07:22 PM,raqib,I go just lock my own for mu wardrobe for Arafims,text,49,0,11,,[]
2022-02-17,07:22 PM,Abdulmuiz,Go take am for sanusi nah,text,25,0,6,,[]
2022-02-17,07:22 PM,raqib,I put down our names and two imaginary names so the woman go sabi sey we serious.,text,81,0,17,,[]
2022-02-17,07:23 PM,raqib,I no dey move now,text,17,0,5,,[]
2022-02-17,07:23 PM,Abdulmuiz,Oh ok,text,5,0,2,,[]
2022-02-17,07:23 PM,Abdulmuiz,"Tactics,I like that",text,19,0,4,,[]
2022-02-17,07:23 PM,raqib,I no be like u now..,text,20,0,6,,[]
2022-02-17,07:23 PM,raqib,Am smart brr 😂,text,14,1,3,,['😂']
2022-02-17,07:24 PM,Abdulmuiz,"Anyhow Sha,it's likely I pay next week Monday",text,45,0,10,,[]
2022-02-17,07:24 PM,Abdulmuiz,Ha ha ha funny😒,text,15,0,4,,['😒']
2022-02-17,07:24 PM,raqib,"If u pay come sch so u go check hostel, i dey go my papa house by weekend",text,73,0,18,,[]
2022-02-17,07:25 PM,raqib,As u dey ilorin so we go run everything sharp,text,45,0,10,,[]
2022-02-17,07:25 PM,raqib,<Media omitted>,text,15,0,2,,[]
2022-02-17,09:42 PM,raqib,Omo when we dey submit?,text,23,0,5,,[]
2022-02-17,09:44 PM,Abdulmuiz,20th,text,4,0,1,,[]
2022-02-17,09:45 PM,raqib,.,text,1,0,0,,[]
2022-02-17,09:47 PM,Abdulmuiz,Ok,text,2,0,1,,[]
2022-02-17,09:48 PM,raqib,U be correct guy👍,text,17,1,4,,['👍']
2022-02-17,09:50 PM,Abdulmuiz,I'll be paying Tomorrow self,text,28,0,6,,[]
2022-02-17,09:50 PM,Abdulmuiz,But I go like pay for Monday cus I no wan go school Tomorrow,text,60,0,14,,[]
2022-02-17,09:51 PM,raqib,Ok sir.,text,7,0,2,,[]
2022-02-17,09:51 PM,raqib,"Just try ensure u go school, so u reserve a good room for us",text,60,0,14,,[]
2022-02-17,09:52 PM,raqib,I go just call d woman and hustle for 2 more ppl,text,48,0,12,,[]
2022-02-17,09:52 PM,Abdulmuiz,No wahala,text,9,0,2,,[]
2022-02-17,09:52 PM,Abdulmuiz,Ok chill for that my guy,text,24,0,6,,[]
2022-02-17,09:52 PM,raqib,Ok,text,2,0,1,,[]
2022-02-18,08:27 PM,Abdulmuiz,How far,text,7,0,2,,[]
